BatchID,Angle,Action,Processed_Longitude,Processed_Latitude,Processed_Elevation,Is_Original
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,5.386416861826698,,-31291.355005544145,11362.19890627137,-10500.619342231192,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,5.433255269320844,,-31401.103809415596,11172.377211877465,-10468.8901976021,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,5.480093676814988,,-31516.393846997293,10982.1372680887,-10417.941211859696,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,5.526932084309133,,-31579.793750905665,10796.07450588554,-10547.633638175204,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,5.573770491803279,,-31704.233991931193,10605.151628532127,-10464.971248647198,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,5.620608899297424,,-31746.143754290417,10420.841638898855,-10669.609716487117,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,5.667447306791569,,-31841.635972359218,10232.273888732103,-10687.835945818573,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,5.714285714285714,,-31892.980375904124,10047.241788131796,-10859.80292783212,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,5.76112412177986,,-31988.79146339069,9858.689330505149,-10877.065071060322,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,5.807962529274005,,-32077.170195924584,9670.749419676373,-10920.26957086008,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,5.85480093676815,,-32231.259647530038,9477.62196837156,-10734.776585141197,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,5.901639344262295,8279c87e717beb2d0437163be8bffb018d72370c1c4348533263d28cc23383c9,-32310.56919033383,9290.44898691302,-10809.686553635634,true
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,5.948477751756441,,-32359.498340225546,9222.465608647035,-10782.617412931286,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,5.995316159250586,,-32401.53012032993,9155.031682482397,-10779.57069524005,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,6.042154566744731,,-32433.905222578906,9088.364588989032,-10810.15571723599,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,6.088992974238876,,-32457.72814324964,9022.375997185998,-10870.529005650431,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,6.135831381733022,,-32474.931173990713,8956.912356751127,-10953.96429317072,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,6.182669789227167,,-32519.18153598206,8889.315088653297,-10943.229117702693,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,6.229508196721312,,-32557.9152231568,8822.15672509902,-10951.712048323825,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,6.276346604215457,,-32586.993406573776,8755.763100345444,-10993.827103538439,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,6.323185011709603,,-32611.107679854613,8689.763294094155,-11053.238697432913,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,6.370023419203747,,-32642.123511971207,8623.221775172686,-11088.626914412715,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,6.416861826697893,,-32694.388706446625,8555.009227052098,-11050.02311253827,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,6.4637002341920375,,-32743.620770430425,8487.039641370735,-11021.989086897112,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,6.510538641686183,,-32792.57905868115,8419.095553334977,-10994.915536314249,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,6.557377049180328,,-32844.8504199828,8350.894815296866,-10956.310266953893,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,6.604215456674473,,-32872.568318222184,8284.628568820452,-11003.228186351247,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,6.6510538641686185,,-32919.32625923143,8216.868533406727,-10983.840927180834,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,6.697892271662764,,-32968.01769264974,8148.960406984144,-10957.726631746627,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,6.744730679156909,,-33015.60774307628,8081.142661295045,-10935.455667302012,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,6.791569086651054,,-33065.13116731681,8013.177035093133,-10906.457627927884,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,6.8384074941451995,,-33114.932593188016,7945.193578067294,-10876.498173243366,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,6.885245901639345,8279c87e717beb2d0437163be8bffb018d72370c1c4348533263d28cc23383c9,-33150.94269727403,7878.295329775836,-10894.585847898386,true
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,6.93208430913349,,-33457.58419501223,7766.92521039219,-10979.910145103,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,6.978922716627635,,-33746.03549321508,7657.010507182626,-11128.642997684889,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,7.0257611241217806,,-34021.26912434283,7548.159411832748,-11323.489305684343,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,7.072599531615926,,-34308.10292509268,7438.429212302843,-11477.960336591117,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,7.119437939110071,,-34591.92250830331,7328.96374779311,-11642.988509506918,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,7.166276346604215,,-34891.468981034355,7218.298886121309,-11753.22378839273,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,7.213114754098361,,-35185.24254316045,7108.115038714634,-11883.625728030689,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,7.259953161592506,,-35441.01440907293,7000.925213246141,-12146.639827704057,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,7.306791569086651,,-35697.64110943186,6893.694837798248,-12406.75977156125,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,7.353629976580796,,-35998.3583858409,6783.055915431702,-12513.09378539119,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,7.400468384074942,,-36337.636400813004,6669.44552372722,-12484.857239202596,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,7.447306791569087,,-36645.25510322116,6558.332670314005,-12567.130190971307,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,7.494145199063232,,-36994.99692067155,6443.975879846781,-12502.33316166699,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,7.540983606557377,,-37323.81951907999,6331.279986310052,-12510.562964833342,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,7.587822014051523,,-37596.51461640466,6222.9758993603755,-12714.85179033503,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,7.634660421545668,,-37954.78912876011,6108.0583283295855,-12620.201625769958,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,7.681498829039812,,-38219.538062229054,6000.430268637283,-12852.335339610465,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,7.7283372365339575,,-38564.06424172688,5886.646127441869,-12805.707437947392,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,7.775175644028103,,-38910.237800621195,5772.769285358896,-12753.29220608063,false
989a40e2-88bc-4b2f-b5de-c6c8b99a8a3e,7.822014051522248,,-39230.56683361903,5660.927987060888,-12791.212825806811,false
